event_id,canonical_row_6104,original_index,i0_A_per_cm2,ih_A_per_cm2,R_ohm_reported_ohm_cm2,R_model_state_for_iv_model,unit_note
LZW-E000049,49,49,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000050,50,50,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000051,51,51,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000052,52,52,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000053,53,53,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000054,54,54,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000055,55,55,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000056,56,56,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000057,57,57,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000058,58,58,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000059,59,59,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000060,60,60,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000061,61,61,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000062,62,62,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000063,63,63,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000064,64,64,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000065,65,65,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000066,66,66,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000067,67,67,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000068,68,68,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000069,69,69,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000070,70,70,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000071,71,71,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000072,72,72,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000073,73,73,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000074,74,74,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000075,75,75,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000076,76,76,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000077,77,77,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000078,78,78,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000079,79,79,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000080,80,80,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000081,81,81,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000082,82,82,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000083,83,83,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000084,84,84,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000085,85,85,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000086,86,86,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000087,87,87,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000088,88,88,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000089,89,89,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000090,90,90,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000091,91,91,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000092,92,92,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000093,93,93,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000094,94,94,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000095,95,95,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000096,96,96,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000097,97,97,1.90699e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000098,98,98,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000099,99,99,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000100,100,100,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000101,101,101,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000102,102,102,1.90699e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000103,103,103,1.90699e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000104,104,104,1.90699e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000105,105,105,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000106,106,106,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000107,107,107,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000108,108,108,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000109,109,109,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000110,110,110,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000111,111,111,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000112,112,112,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000113,113,113,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000114,114,114,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000115,115,115,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000116,116,116,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000117,117,117,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000118,118,118,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000119,119,119,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000120,120,120,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000121,121,121,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000122,122,122,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000123,123,123,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000124,124,124,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000125,125,125,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000126,126,126,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000127,127,127,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000128,128,128,1.90698e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000129,129,129,1.90697e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000130,130,130,1.90697e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000131,131,131,1.90697e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000132,132,132,1.90696e-07,0.002,0.04061,0.00010002463054187192,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000133,133,133,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000134,134,134,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000135,135,135,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000136,136,136,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000137,137,137,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000138,138,138,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000139,139,139,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000140,140,140,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000141,141,141,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000142,142,142,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000143,143,143,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000144,144,144,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000145,145,145,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000146,146,146,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000147,147,147,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000148,148,148,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000149,149,149,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000150,150,150,1.90694e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000151,151,151,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000152,152,152,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000153,153,153,1.90694e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000154,154,154,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000155,155,155,1.90694e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000156,156,156,1.90694e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000157,157,157,1.90694e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000158,158,158,1.90694e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000159,159,159,1.90694e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000160,160,160,1.90694e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000161,161,161,1.90694e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000162,162,162,1.90694e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000163,163,163,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000164,164,164,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000165,165,165,1.90694e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000166,166,166,1.90694e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000167,167,167,1.90694e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000168,168,168,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000169,169,169,1.90694e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000170,170,170,1.90694e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000171,171,171,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000172,172,172,1.90694e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000173,173,173,1.90694e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000174,174,174,1.90694e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000175,175,175,1.90694e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000176,176,176,1.9069500000000005e-07,0.002,0.04062,0.00010004926108374385,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000177,177,177,1.90694e-07,0.002,0.04063,0.00010007389162561576,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000178,178,178,1.90694e-07,0.002,0.04063,0.00010007389162561576,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000179,179,179,1.90694e-07,0.002,0.04063,0.00010007389162561576,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000180,180,180,1.90694e-07,0.002,0.04063,0.00010007389162561576,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000181,181,181,1.90694e-07,0.002,0.04063,0.00010007389162561576,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000182,182,182,1.90694e-07,0.002,0.04063,0.00010007389162561576,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000183,183,183,1.90694e-07,0.002,0.04063,0.00010007389162561576,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000184,184,184,1.90694e-07,0.002,0.04063,0.00010007389162561576,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000185,185,185,1.90694e-07,0.002,0.04063,0.00010007389162561576,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000186,186,186,1.90694e-07,0.002,0.04063,0.00010007389162561576,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000187,187,187,1.90693e-07,0.002,0.04063,0.00010007389162561576,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
